1;Individuo1;1@email.com;1;0.01;Educaçao,Transportes;23,34,45,56;
2;Individuo2;2@email.com;2;0.02;Saude,Educaçao,Transportes;1312,32423,23543,32534,34535;
3;Individuo3;3@email.com;3;0.03;Lazer,Saude,Educaçao;873528734,983489,98348934
4;Individuo4;4@email.com;4;0.04;Lazer,Educaçao,Transportes;
5;Individuo5;5@email.com;5;0.05;Educaçao,Transportes;
6;Individuo6;6@email.com;6;0.06;Lazer,Transportes;84558;
7;Individuo7;7@email.com;7;0.07;Lazer;84383,483939393;
8;Individuo8;8@email.com;8;0.08;Saude;
9;Individuo9;9@email.com;9;0.09;;
10;Individuo10;10@email.com;10;0.10;Educaçao,Transportes;7373783,274,3732,73,243;
11;Individuo11;11@email.com;11;0.11;Saude,Educaçao,Transportes;345678,456789;
12;Individuo12;12@email.com;12;0.12;Lazer,Saude,Educaçao,Transportes;098;
13;Individuo13;13@email.com;13;0.13;Lazer,Educaçao,Transportes;09876,0987;
14;Individuo14;14@email.com;14;0.14;Lazer,Saude,Educaçao,Transportes;
15;Individuo15;15@email.com;15;0.15;Educaçao,Transportes;4554;
16;Individuo16;16@email.com;16;0.16;Lazer,Transportes;8787870,80769697;
17;Individuo17;17@email.com;17;0.17;Educaçao;1223;
18;Individuo18;18@email.com;18;0.18;Lazer,Transportes;
19;Individuo19;19@email.com;19;0.19;Lazer,Saude,Educaçao,Transportes;100033;
20;Individuo20;20@email.com;20;0.20;Saude;63263,7843783;
